Date,Holiday,id,element,value
1998-11-26,Thanksgiving Day,USW00094846,TMAX,161.0
1998-01-01,New Year’s Day,USW00094846,TMAX,44.0
1998-05-25,Memorial Day,USW00094846,TMAX,222.0
1998-11-11,Veterans Day,USW00094846,TMAX,78.0
1998-09-07,Labor Day,USW00094846,TMAX,233.0
1998-07-03,Independence Day,USW00094846,TMAX,311.0
1998-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-17.0
1998-10-12,Columbus Day,USW00094846,TMAX,217.0
2009-01-01,New Year’s Day,USW00094846,TMAX,-6.0
2009-07-03,Independence Day,USW00094846,TMAX,261.0
2009-11-11,Veterans Day,USW00094846,TMAX,122.0
2009-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-50.0
2009-12-25,Christmas Day,USW00094846,TMAX,61.0
2009-09-07,Labor Day,USW00094846,TMAX,250.0
2009-11-26,Thanksgiving Day,USW00094846,TMAX,56.0
2009-02-16,Washington’s Birthday,USW00094846,TMAX,6.0
2009-01-20,Inauguration Day,USW00094846,TMAX,-44.0
2009-05-25,Memorial Day,USW00094846,TMAX,194.0
2009-10-12,Columbus Day,USW00094846,TMAX,89.0
2007-11-22,Thanksgiving Day,USW00094846,TMAX,6.0
2007-01-15,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,6.0
2007-12-25,Christmas Day,USW00094846,TMAX,56.0
2007-02-19,Washington’s Birthday,USW00094846,TMAX,56.0
2007-10-08,Columbus Day,USW00094846,TMAX,306.0
2007-05-28,Memorial Day,USW00094846,TMAX,261.0
2007-09-03,Labor Day,USW00094846,TMAX,311.0
2007-01-01,New Year’s Day,USW00094846,TMAX,61.0
2007-11-12,Veterans Day,USW00094846,TMAX,189.0
2007-07-04,Independence Day,USW00094846,TMAX,300.0
1998-02-16,Washington’s Birthday,USW00094846,TMAX,67.0
1998-01-19,"Birthday of Martin Luther King, Jr.",USW00094846,TMAX,-17.0
1998-11-26,Thanksgiving Day,USW00094846,TMAX,161.0
1998-12-25,Christmas Day,USW00094846,TMAX,6.0
1998-07-03,Independence Day,USW00094846,TMAX,311.0
1998-01-01,New Year’s Day,USW00094846,TMAX,44.0
