VolcanoNumber,VolcanoName,EruptionNumber,EruptionCategory,EvidenceMethod_Dating,VEI,ErupStartDate,ErupEndDate,Latitude,Longitude
344100,Masaya,11037,Confirmed Eruption,Historical Observations,1,4/23/2001,4/25/2001,11.985,-86.165
261140,Marapi,15478,Confirmed Eruption,Historical Observations,2,4/13/2001,6/5/2001,-0.38,100.474
233020,"Fournaise, Piton de la",14380,Confirmed Eruption,Historical Observations,1,3/27/2001,4/4/2001,-21.244,55.708
241040,Whakaari/White Island,14495,Confirmed Eruption,Historical Observations,2,2/19/2001,2/19/2001,-37.52,177.18
223020,Nyamulagira,14081,Confirmed Eruption,Historical Observations,2,2/6/2001,4/5/2001,-1.408,29.2
311240,Cleveland,19816,Confirmed Eruption,Historical Observations,3,2/2/2001,4/15/2001,52.825,-169.944
344040,Telica,10935,Confirmed Eruption,Historical Observations,1,1/17/2001,12/19/2001,12.606,-86.84
252120,Ulawun,15064,Confirmed Eruption,Historical Observations,3,1/16/2001,5/3/2001,-5.05,151.33
264090,Inielika,16258,Confirmed Eruption,Historical Observations,2,1/11/2001,3/16/2001,-8.73,120.98
284040,Miyakejima,18274,Confirmed Eruption,Historical Observations,2,1/11/2001,11/24/2002,34.094,139.526
273030,Mayon,16810,Confirmed Eruption,Historical Observations,3,1/8/2001,8/8/2001,13.257,123.685
